real,previsto
504.81800324430645,499.89004735528596
512.6571973428206,508.58242094011837
519.8635797299033,514.34791895374
526.1110849173306,522.9146442444099
531.5457803340141,529.9587604061971
536.3793909885059,537.3303672711335
540.63098041141,542.8980542523886
544.3668202889993,547.8563042944644
538.0667651271866,541.0428889444496
529.0836323187845,523.3944943542829
522.7999221509968,519.5678595692755
519.0325973846972,519.4657013092169
517.6441785313083,519.4080090751252
518.1298913616482,519.9780789225308
519.6518521395062,521.57146429308
520.6740242615358,522.0744093239172
521.0433712949031,522.2395674091572
521.2922924289289,523.5501496412423
521.3132861807699,523.9545764840049
521.4036537921247,524.12634241295
521.052118737773,523.7999046826098
519.6412024469212,521.7077045091888
518.2798472323411,520.7402141700907
517.753200707347,519.7623169868345
516.894827092317,518.8884501162016
514.1335315456197,515.4822547019384
511.2955856562421,512.3542054722857
509.9738099787466,510.33638197581183
509.93495877649485,509.1693649633717
509.88070291771044,508.8377125425809
509.5879484301471,507.7264275719783
509.6572671378644,506.9237279144016
510.772858380359,509.4648734071235
512.187042461101,510.6922001977099
513.8221506430087,512.0274352642401
515.5586737458734,514.880782415306
517.2054490866927,515.940269349358
518.5431562772054,518.2376296556412
519.8584206195917,520.1212898218364
521.2170881550684,521.8731067242352
522.403367289191,523.8009039018405
523.1930872438188,524.5769712883625
523.7616337404235,525.8434132563323
524.1695485526533,524.9917359359537
525.509856687657,527.5935791271324
528.7822498613803,531.1176199082394
531.172938760519,533.3424087120053
531.3698790377609,534.053745146013
530.9914882935487,533.2486665889737
529.8782271287323,532.7775606147973
528.8273058008962,532.3307599706505
528.1283864494361,531.9649452190712
527.4171940278502,531.6999910395159
526.2991135908583,530.4251939384569
525.2466361317372,529.8468727216031
524.4574234537417,528.3448406855933
525.1040969063888,529.9706356240547
528.2519096313068,529.0968724439434
531.0957794462939,531.1846700735229
532.8755706250823,538.1157667183784
532.6305996502265,534.4672302181407
529.5498984546857,531.3643172860809
526.0112438283244,526.5016835016728
523.1903210895593,525.1544965752377
521.7663033443847,522.7120883094715
522.2146686648939,524.448962170912
523.2032647250583,524.7007141705117
523.4992228431072,525.3869213729193
524.0426515740519,526.0855153428347
525.4388422416915,527.4189589227909
526.6714499440392,529.0744093961835
527.3202761429452,529.4232054189632
527.1695007548626,529.1859772018398
526.0691412543986,528.738668613602
524.7848606714259,528.000893858396
523.7245163623845,526.4093435783518
521.8777296776761,524.8564670741661
517.8014855175168,520.3300893293333
513.3848672032334,516.7402739373929
509.916152381118,512.8975066417993
507.1054404986051,510.23834316537835
502.5144906958906,505.6047916342166
497.12886498772735,499.7330476648125
493.602523161889,496.4587971701048
492.1574865293533,494.6292553085914
490.43564034721874,499.1409468457074
488.65846641686704,499.085419804969
484.67313076711355,492.5550525037554
482.98142958420266,488.71625895676146
486.38240166776563,488.3598426826912
491.22206928774324,491.2163171730825
496.2741486791777,488.8028450135075
500.56954281545774,492.6174234993424
503.47751332956966,495.5518028244539
505.8648006796437,497.9689510918163
508.00657008892415,501.1026430324072
511.23368312948656,503.9174916405199
516.4901140659216,510.1258717343079
521.8048558714555,515.4925680015973
526.4866361933775,519.3438829234199
529.818437479249,524.5701484460445
531.2825965674054,524.9865836289018
531.9888348552508,526.8882147131324
532.4431225739161,525.7831222675094
532.2003121402693,525.312013526047
530.7416173125393,522.6913284853158
528.9276279338591,519.3860592264676
527.1078822048186,518.9361777543292
526.7136181289932,517.5171529738616
528.9956228673647,527.4227210321765
531.777169189654,530.6649912217156
534.216903216918,533.4246093107428
535.9962493628294,535.688547274589
536.9262242641015,535.3261636430482
535.7035206080559,532.9454641263937
534.391603526403,529.6968259667913
533.651850860243,529.0757738433939
533.280691331187,532.7745132446963
533.2432418825905,532.2446191790352
533.4468406365241,531.5096064175611
532.3017211828621,533.6037145965372
528.3298736199648,530.0612123892896
524.3116212546337,526.8644075311385
521.7195604854221,524.1286854005277
521.890775117915,522.7879364985992
522.8693731662898,522.1982967753469
521.4707233355904,521.152585412375
519.5001837779146,518.7828986928785
518.3678513425966,517.9246756677229
518.9452836432897,517.7621664228789
520.2319465412761,518.2251163682389
521.6062803133119,521.0968029733651
522.5154492671195,522.8237323060404
522.5154573407431,522.6041813872009
522.373775426013,522.2773113680994
522.3250188966931,522.1992322039939
