real,previsto
288.864921384955,279.2244928865261
282.87829338345404,265.42493372917664
275.398655596615,253.02968785569186
267.184169224166,243.88639577437127
258.925395619865,236.71735162225576
250.936573387967,229.7486275316457
243.318598510789,221.5276029192933
236.138209798106,213.6428322997006
229.510570041482,208.22983521902802
223.543814956105,203.67516228345536
218.44792541893003,202.9965675458656
214.772953717778,205.2333680493939
212.962692925277,209.98783304027447
212.952158750768,216.38641394328025
214.310141234242,220.84049871836666
216.284498839974,223.3485922969478
218.22123149040905,225.4453340374361
219.908051068058,225.89361978728004
221.39188547956903,226.50769308003578
222.814950163444,227.9920796305355
224.296228989119,229.92937219746426
225.86402080415905,231.8862524457539
227.475745609381,233.49561478800524
229.05349793498695,232.84507590879346
230.536036126123,234.57116824364962
231.89354383174,234.4808420330611
233.11415328890095,234.19050799740205
234.220385820589,236.23386106949283
235.244324159281,237.43516577311644
236.191992013493,238.29696478634324
236.98539908271,238.40577536030662
237.37851261990696,237.05176994823108
237.146058637202,234.74433723537703
236.267051056031,230.93596013686837
234.873606603175,227.4328434061474
233.217357071432,227.01537637877175
231.530782955728,229.48783791441133
229.912249755688,232.38616069698978
228.317337219602,233.18863803992625
226.515224642826,231.30309344072543
224.264127420051,227.99012309450137
221.498435528618,224.3451415300998
218.309911365822,221.3913060000234
214.930702023728,219.9297143853336
211.58797958408505,219.36480148991666
208.37716839535705,219.03104697100858
205.300308497155,218.27460176817993
202.307162389656,216.34731228460646
199.341329601179,213.299449592687
196.374488440336,209.68116690009109
193.392125949763,206.1099248428948
190.361570422492,203.3278066078667
187.245970452616,199.20122369323215
184.03592496539505,193.6749940946978
180.74120585254695,189.13384281200416
177.368743640382,185.5897497968819
173.92295370911202,182.65135674715924
170.417670187835,179.69527742021089
166.865074379574,175.93347566548556
163.2505159111,170.4200307210627
159.54905490049802,163.7477985188502
155.759618800444,156.82823719699903
151.87236442748198,149.7888117310865
147.796579845237,144.47451200294722
143.426878950583,137.14892338646754
138.763009256291,133.4754847304932
133.900969199927,125.98514117060537
129.042939654732,118.33267584699162
124.492472140126,105.55160679897436
120.523386512169,95.39777394799988
118.026946060846,94.44765561040674
119.845135500159,101.98506872726885
128.591051057226,116.22647797025228
143.91866555206698,130.9779065326704
163.353072271893,154.2068389153807
183.761600767532,182.70158874994638
203.371241339607,212.61800844393065
221.947672078054,234.87676409678213
239.220270757551,249.83486508722595
254.28983862164,258.66987062433265
266.775220649084,265.875696576951
277.146979063692,273.44033024963596
285.963265780384,282.1450002383197
293.709925392607,292.19470842632916
300.746775988808,303.0700940727243
307.246904210382,313.9315753871197
313.253860192463,324.03609820685466
318.754312342092,333.0587779971382
323.742262713191,341.3196984911274
328.244052401471,349.1980481123171
332.22134761723,355.44941476412555
335.365359442053,356.2836790515816
337.25201503018,352.84703519769874
337.679741749428,346.9349813840313
336.742276490198,340.9118617763966
334.772219675462,336.662416137119
332.152670219914,333.18618780382684
329.12159952404204,329.54534540132477
325.745456357793,325.8094596389902
321.971168808064,319.5886648685848
317.749104399599,311.2059246469124
313.106048232519,302.95603172086453
308.158460010707,295.7039925260128
303.164224842068,286.3608324231293
298.4141783526,271.4726438081895
294.069535785019,257.8504188097832
290.149812886331,247.49460151335182
286.545556334908,241.98928143176545
283.13226140214,239.21782725507452
279.890350903968,237.54297581404683
276.799587828405,234.81002548982528
273.639423632702,231.9539588656213
270.184576408895,231.07175956366757
266.458056611509,231.3926336315132
262.734907772579,232.65920599478008
259.556740695167,235.66600062145693
257.318189368391,239.71460639565962
256.006744105091,243.99362356980268
